番号,8511
名前,팔몬
呼び名,팔몬
基礎,0,1700;체력
基礎,1,1600;기력
基礎,5,17;HP
基礎,6,24;MP
基礎,ＥＸＰ,16
基礎,ＭＡＧ,50
基礎,￥,8
基礎,10,100
基礎,LV,10
基礎,힘,6
基礎,지혜,4
基礎,마력,7
基礎,인내력,5
基礎,속도,5
基礎,운,4
基礎,CP,5
素質,
素質,
素質,
素質,
能力,

素質,머리
素質,눈
素質,입
素質,팔
素質,발

;속성내성의주석
基礎,검격,175
基礎,비구,100
基礎,타격,100
基礎,전술,50
基礎,화염,200
基礎,빙결,100
基礎,전격,100
基礎,충격,75
基礎,신경,100
基礎,정신,100
基礎,파마,100
基礎,주살,100
基礎,지변,100
基礎,수격,100
基礎,질풍,150
基礎,중력,100
基礎,핵열,100
基礎,만능,100
基礎,사이코,100

能力,변이,8512,
能力,변이레벨,23

能力,스킬1,;포이즌아이비
能力,스킬2,1001;잔

能力,습득스킬1,1111;포이즈마
能力,습득LV1,12
能力,습득스킬2,4;양팔찍기
能力,습득LV2,15
能力,습득스킬3,251;나한장
能力,습득LV3,16
能力,습득스킬4,1004;마하잔
能力,습득LV4,20
能力,습득스킬5,402;디아라마
能力,습득LV5,22



能力,종족,6
CSTR,종족명,요수

素質,전술
素質,충격

能力,회화타입,
能力,속성LD,2
能力,속성LC,2

能力,공격상성,3;전술
能力,최저공격횟수,1
能力,최대공격횟수,1
能力,사거리,1
能力,공격범위,1

能力,아이템1,
能力,입수확률1,

CSTR,11,나
CSTR,12,서머너

フラグ,특수합체만,
フラグ,전서소환불가

;악마해설
CSTR,30,
CSTR,31,
CSTR,32,。